Year,Units,display,title,sex,Bundesland,GeoCode,Value
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,code14,55.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,code14,55.0
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,code14,53.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,code14,50.5
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,code14,55.4
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,code14,54.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,code14,56.3
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,code14,54.9
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,code14,56.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,code14,57.4
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,code14,59.8
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,34.3
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,34.0
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,37.3
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,37.8
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,37.8
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,38.6
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,36.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,36.0
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,37.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,39.1
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,41.0
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,38.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,39.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,41.6
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,code14,41.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,27.9
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,28.4
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,27.0
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,30.3
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,32.3
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,32.2
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,31.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,30.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,30.6
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,32.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,34.2
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,33.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,35.8
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,38.6
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,st,code15,36.6
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,31.2
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,32.1
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,34.2
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,36.6
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,36.9
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,37.1
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,37.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,36.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,36.5
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,38.9
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,39.8
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,41.5
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,41.2
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,44.3
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,code15,41.3
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,25.2
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,24.9
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,20.8
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,24.7
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,27.9
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,27.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,26.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,25.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,25.6
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,26.5
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,29.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,26.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,30.8
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,32.8
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,code15,32.3
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,32.5
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,30.6
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,31.8
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,32.1
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,34.6
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,35.8
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,40.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,37.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,38.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,38.9
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,39.7
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,40.1
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,42.4
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,43.4
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,sh,code01,43.4
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,32.1
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,30.9
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,31.2
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,32.7
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,35.8
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,36.7
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,41.7
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,39.2
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,40.7
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,40.7
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,43.9
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,42.9
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,47.0
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,49.1
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,code01,45.8
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,33.0
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,30.3
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,32.5
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,31.3
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,33.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,34.9
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,39.0
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,35.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,35.4
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,37.0
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,35.5
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,37.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,37.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,37.8
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,code01,41.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,31.2
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,32.2
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,36.5
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,35.7
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,35.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,36.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,37.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,39.1
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,39.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,37.6
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,36.9
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,40.3
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,40.7
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,44.6
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,a) total,th,code16,44.8
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,33.8
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,35.1
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,40.8
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,41.9
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,42.5
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,43.0
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,45.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,46.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,47.1
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,44.5
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,45.4
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,48.0
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,49.5
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,51.7
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,code16,51.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,29.1
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,29.7
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,32.6
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,30.4
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,29.1
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,30.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,29.9
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,32.8
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,33.0
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,31.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,29.9
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,33.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,32.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,38.1
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,code16,38.9
1999,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,24.8
2000,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,25.3
2001,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,25.1
2002,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,25.1
2003,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,25.0
2004,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,26.8
2005,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,26.1
2006,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,25.8
2007,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,26.5
2008,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,27.6
2009,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,29.4
2010,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,29.8
2011,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,30.7
2012,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,31.9
2013,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,33.1
2014,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,31.4
2015,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,32.3
2016,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,33.1
2017,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,34.0
2018,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,34.9
2019,percentage (%),a) time series,tertiary education,a) total,a) germany (total),,35.5
